"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://knightlogics.com/videoforge","text/html; charset=utf-8","200","OK","Indexable","","VideoForge Studio | Knight Logics","33","300","VideoForge Studio by Knight Logics: Windows-first local video production app for ranked videos with FFmpeg rendering, overlays, optional narration, and export-ready output.","172","1071","VideoForge Studio, ranked video generator, local rendering app, FFmpeg workflow, Shorts automation, Knight Logics","113","VideoForge Studio","17","Upload, sequence, render, export.","33","Official Demo Video Coming Soon","31","","","","https://knightlogics.com/videoforge","","","","","","19778","4829","4829","1.850","","585","101","5.792","42.313","Hard","21.406","0","0","","7","7","0","21.880","5","2","0","5","3","0","","","","","89e57dba0038c778c99eaa0da2f5ab5","0.048","Tue, 12 May 2026 03:16:12 GMT","","","","en","1.1","","","","","","https://knightlogics.com/videoforge","2026-05-11 23:33:19"
"https://knightlogics.com/service-websites","text/html; charset=utf-8","200","OK","Indexable","","Custom Website Design & Local SEO — Tampa Bay | Knight Logics","61","588","Custom website design & local SEO for Tampa Bay small businesses. Hand-coded sites with Google Business Profile optimization, schema markup & Search Console setup. Get found, get calls.","185","1180","custom website design Tampa Bay, local SEO Tampa, website designer Tampa Bay, Google Business Profile optimization, small business web design Florida, affordable web design Pinellas County, hand-coded website, lead generation website Tampa, SEO services Tampa Bay, website redesign Tampa, Knight Logics","302","Custom Websites That Rank & Convert","35","What's Included","15","Website Work You Can Check","26","","","","https://knightlogics.com/service-websites","","","","","","95490","17946","17946","6.875","","3350","593","5.649","61.827","Normal","22.442","0","0","","30","15","0","46.880","24","10","0","0","0","0","","","","","d1c404c50e664b5e6537622096ec60aa","0.047","Tue, 12 May 2026 03:16:12 GMT","","","","en","1.1","","","","","","https://knightlogics.com/service-websites","2026-05-11 23:33:19"
"https://knightlogics.com/service-websites.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Custom Website Design & Local SEO — Tampa Bay | Knight Logics","61","588","Custom website design & local SEO for Tampa Bay small businesses. Hand-coded sites with Google Business Profile optimization, schema markup & Search Console setup. Get found, get calls.","185","1180","custom website design Tampa Bay, local SEO Tampa, website designer Tampa Bay, Google Business Profile optimization, small business web design Florida, affordable web design Pinellas County, hand-coded website, lead generation website Tampa, SEO services Tampa Bay, website redesign Tampa, Knight Logics","302","Custom Websites That Rank & Convert","35","What's Included","15","Website Work You Can Check","26","","","","https://knightlogics.com/service-websites","","","","","","95490","17946","17946","6.875","","3350","593","5.649","61.827","Normal","22.442","0","0","","1","1","0","3.130","24","10","0","0","0","0","","","","","d1c404c50e664b5e6537622096ec60aa","0.048","Tue, 12 May 2026 03:16:12 GMT","","","","en","1.1","","","","","","https://knightlogics.com/service-websites.html","2026-05-11 23:33:19"
"https://knightlogics.com/service-ecommerce.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","E-Commerce Development — Tampa Bay Shopify, Firebase & Stripe | Knight Logics","77","734","Custom e-commerce development for Tampa Bay businesses. Shopify alternatives, Firebase + Stripe storefronts, and data systems built to your spec — no platform lock-in, no monthly fees.","184","1158","Shopify development Tampa Bay, e-commerce website developer Florida, Firebase e-commerce, Stripe integration, Snipcart, checkout optimization, inventory automation, e-commerce data systems, online store development, Knight Logics","229","E-Commerce & Data Systems","25","What's Included","15","The Technology Stack","20","","","","https://knightlogics.com/service-ecommerce","","","","","","48461","10887","10887","4.171","","1388","223","6.224","44.178","Hard","20.239","0","0","","0","0","0","0.000","5","4","0","0","0","0","","","","","9f0c392c8e18746bce1d689604d656b4","0.049","Tue, 12 May 2026 03:16:12 GMT","","","","en","1.1","","","","","","https://knightlogics.com/service-ecommerce.html","2026-05-11 23:33:19"
"https://knightlogics.com/videoforge.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","VideoForge Studio | Knight Logics","33","300","VideoForge Studio by Knight Logics: Windows-first local video production app for ranked videos with FFmpeg rendering, overlays, optional narration, and export-ready output.","172","1071","VideoForge Studio, ranked video generator, local rendering app, FFmpeg workflow, Shorts automation, Knight Logics","113","VideoForge Studio","17","Upload, sequence, render, export.","33","Official Demo Video Coming Soon","31","","","","https://knightlogics.com/videoforge","","","","","","19778","4829","4829","1.850","","585","101","5.792","42.313","Hard","21.406","0","0","","0","0","0","0.000","5","2","0","5","3","0","","","","","89e57dba0038c778c99eaa0da2f5ab5","0.011","Tue, 12 May 2026 03:16:12 GMT","","","","en","1.1","","","","","","https://knightlogics.com/videoforge.html","2026-05-11 23:33:19"
"https://knightlogics.com/service-ecommerce","text/html; charset=utf-8","200","OK","Indexable","","E-Commerce Development — Tampa Bay Shopify, Firebase & Stripe | Knight Logics","77","734","Custom e-commerce development for Tampa Bay businesses. Shopify alternatives, Firebase + Stripe storefronts, and data systems built to your spec — no platform lock-in, no monthly fees.","184","1158","Shopify development Tampa Bay, e-commerce website developer Florida, Firebase e-commerce, Stripe integration, Snipcart, checkout optimization, inventory automation, e-commerce data systems, online store development, Knight Logics","229","E-Commerce & Data Systems","25","What's Included","15","The Technology Stack","20","","","","https://knightlogics.com/service-ecommerce","","","","","","48461","10887","10887","4.171","","1388","223","6.224","44.178","Hard","20.239","0","0","","1","1","0","3.130","5","4","0","0","0","0","","","","","9f0c392c8e18746bce1d689604d656b4","0.014","Tue, 12 May 2026 03:16:12 GMT","","","","en","1.1","","","","","","https://knightlogics.com/service-ecommerce","2026-05-11 23:33:21"
"https://knightlogics.com/service-desktop-apps.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Custom Desktop Applications & Software — Tampa Bay | Knight Logics","66","628","Custom Windows desktop applications by Knight Logics. Shipped products include PixelForge AI, Display Control+, and VideoForge Studio — built, packaged & distributed via GitHub Releases.","186","1172","custom desktop application development, Windows app developer, Python desktop app, PyInstaller custom software, PixelForge AI, Display Control Plus, VideoForge Studio, software developer Tampa Bay, GitHub Releases, Knight Logics","228","Desktop Applications & Custom Software","38","Shipped Products","16","What's Included","15","","","","https://knightlogics.com/service-desktop-apps","","","","","","32482","7582","7582","2.905","","660","117","5.641","44.471","Hard","14.332","0","0","","0","0","0","0.000","8","5","0","0","0","0","","","","","4d0bc6d42b7e50d38b25479d0bcf5c82","0.015","Tue, 12 May 2026 03:16:12 GMT","","","","en","1.1","","","","","","https://knightlogics.com/service-desktop-apps.html","2026-05-11 23:33:21"
"https://knightlogics.com/service-desktop-apps","text/html; charset=utf-8","200","OK","Indexable","","Custom Desktop Applications & Software — Tampa Bay | Knight Logics","66","628","Custom Windows desktop applications by Knight Logics. Shipped products include PixelForge AI, Display Control+, and VideoForge Studio — built, packaged & distributed via GitHub Releases.","186","1172","custom desktop application development, Windows app developer, Python desktop app, PyInstaller custom software, PixelForge AI, Display Control Plus, VideoForge Studio, software developer Tampa Bay, GitHub Releases, Knight Logics","228","Desktop Applications & Custom Software","38","Shipped Products","16","What's Included","15","","","","https://knightlogics.com/service-desktop-apps","","","","","","32482","7582","7582","2.905","","660","117","5.641","44.471","Hard","14.332","0","0","","27","11","0","34.380","8","5","0","0","0","0","","","","","4d0bc6d42b7e50d38b25479d0bcf5c82","0.016","Tue, 12 May 2026 03:16:12 GMT","","","","en","1.1","","","","","","https://knightlogics.com/service-desktop-apps","2026-05-11 23:33:21"
"https://knightlogics.com/service-ai-automation.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Business Automation & API Integration — Tampa Bay | Knight Logics","65","607","Business automation, workflow systems & API integration for Tampa Bay companies. Cut manual work, reduce errors, and connect your tools with custom-built automations by Knight Logics.","183","1178","business automation Tampa, workflow automation small business, API integration developer, business process automation Florida, internal tools development, lead routing automation, custom automation software, Python automation developer, Knight Logics","250","Automation, APIs & Internal Tools","33","What's Included","15","AI & Automation Projects","24","","","","https://knightlogics.com/service-ai-automation","","","","","","48868","11330","11330","4.340","","1375","215","6.395","42.649","Hard","19.868","0","0","","0","0","0","0.000","8","7","0","0","0","0","","","","","37ded57c4b770b7c1514773bb77a3eb6","0.010","Tue, 12 May 2026 03:16:12 GMT","","","","en","1.1","","","","","","https://knightlogics.com/service-ai-automation.html","2026-05-11 23:33:21"
"https://knightlogics.com/service-ai-automation","text/html; charset=utf-8","200","OK","Indexable","","Business Automation & API Integration — Tampa Bay | Knight Logics","65","607","Business automation, workflow systems & API integration for Tampa Bay companies. Cut manual work, reduce errors, and connect your tools with custom-built automations by Knight Logics.","183","1178","business automation Tampa, workflow automation small business, API integration developer, business process automation Florida, internal tools development, lead routing automation, custom automation software, Python automation developer, Knight Logics","250","Automation, APIs & Internal Tools","33","What's Included","15","AI & Automation Projects","24","","","","https://knightlogics.com/service-ai-automation","","","","","","48868","11330","11330","4.340","","1375","215","6.395","42.649","Hard","19.868","0","0","","3","3","0","9.380","8","7","0","0","0","0","","","","","37ded57c4b770b7c1514773bb77a3eb6","0.016","Tue, 12 May 2026 03:16:12 GMT","","","","en","1.1","","","","","","https://knightlogics.com/service-ai-automation","2026-05-11 23:33:21"
"https://knightlogics.com/pixelforge-ai.html","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","PixelForge AI | Knight Logics","29","254","PixelForge AI by Knight Logics: Windows desktop video upscaling app for local enhancement, restoration, compare previews, ETA estimation, and direct GitHub-powered updates.","172","1095","PixelForge AI, video upscaling, AI video enhancer, Real-ESRGAN Windows app, RealSR upscaling, Waifu2x upscaling, RIFE frame interpolation, video restoration, Vulkan GPU, Knight Logics, v11b upscaling app","203","PixelForge AI","13","Preview first. Commit later.","28","Built For Real Video Cleanup","28","","","","https://knightlogics.com/pixelforge-ai","","","","","","21653","5392","5392","2.066","","644","110","5.855","54.156","Fairly Hard","20.253","0","0","","0","0","0","0.000","5","2","0","5","4","0","","","","","e0bcd72b58f74c44afe83813e896a3ff","0.011","Tue, 12 May 2026 03:16:12 GMT","","","","en","1.1","","","","","","https://knightlogics.com/pixelforge-ai.html","2026-05-11 23:33:21"
